Tag,Name,Description,Lit,Paths,,
narrow2,A Narrow Passageway,This part of the cave is a tight squeeze. You can barely breathe from the closeness of the rock walls and the smell of something long dead. The narrow path leads north and west.,N,w.second.h n.narrow3,,
narrow3,A Narrow Passageway,"Narrow and dark, it’s spooky in here, especially because you can’t see what’s around the bend. It’s hot, too. The passageway forks here, and tight openings lead north, south, and east. A bubbling sound can be heard to the north.",N,s.narrow2 n.pools,,
pools,The Hot Pools,Hot steam bubbles up from the three geothermal xi[pools]x in this room.,N,s.narrow3,,
ncavern,North Cavern,The path opens into a huge cavern. You can hear your movements echo among the pillars and stalactites. The path winds through the middle of this chamber into the other half of the cavern to the south. A small opening leads west.,N,w.narrow3 s.scavern,,
scavern,South Cavern,"The cave features on this half of the cavern display layers of colors, all slightly muted but amazing all the same. The path winds through the middle of the cavern to the northern half of the chamber. Another small opening leads to the southeast.",N,se.narrow,,
outside,Outside Cave Entrance,"The breeze blows through the trees. Birds chirp and squabble in the canopy. North of you, the xi[cave]x mouth beckons. An unpleasant odor emanates from it.",Y,n.foyer,,
foyer,Just Inside the Cave,Dim light filters in from the south. The cave continues north.,Y,s.outside n.second,,
overlook,Grand Overlook,"A steep xi[cliff]x appears before you, falling into the darkness. Ahead to the north, a light flickers in the distance, but there is no way across the chasm. An old xi[rope]x is tied to a tree and dangles down into the ravine.",Y,d.cliffside,,
narrow,Narrow Passage,The narrow passage bends here from northwest to north. The smell of gold permeates the air.,N,,,
treasure,Treasure Chamber,"You've found the long-lost treasure chamber! Sadly, it has already been completely emptied by earlier adventurers. The only exit is to the south.",Y,,,
cliffside,On the Side of the Cliff,"You've found an old, fraying xi[rope]x to climb the cliff. The winds buffet you and make the climb difficult.",Y,u.overlook d.bottom,,
bottom,Bottom of the Canyon,"Here at the bottom of the canyon, everything is peaceful. A xi[stream]x runs through the canyon. You might be able to follow it west. The cliff on the opposite side looks unclimbable. There is an old, fraying xi[rope]x here, leading up.",Y,u.cliffside w.streambed,,
streambed,Along the Stream,"Following the xi[stream]x is a bit tricky, with all the rocks here. The path leads east and west.",Y,e.bottom w.beach,,
beach,Beach,A small xi[beach]x at the side of the xi[stream]x. A path follows the stream east.,Y,e.streambed,,
second,Further Into the Cave,Dark shadows hide all the pits in the floor. You had better stick to the path if you don't want to twist an ankle. The path goes north and south.,N,n.third,,
third,In the Cave,The dark path twists and winds between stalagmites. You see openings to the west and south.,N,w.forth,,
forth,In the Cave,"The cave is worn smooth here, as if from the passage of some great beast. The path exits to the northwest and east.",N,nw.fifth,,
fifth,In the Cave,"The cave is tight here, and it's tough to move. A gentle purple light comes from the south. Sounds of water trickling come from the north. You can see exits to the north, south, and southeast.",N,s.crystal n.sixth,,
crystal,The Crystal Cavern,"A gentle purple light envelopes you as hundreds of thousands of crystals in the walls, floor, and ceiling glow violet. A sense of peace settles on you. The only exit is to the north, but why would anyone want to leave this beautiful place.",Y,n.fifth,,
sixth,In the Cave,The cave is worn smooth here. The sound of trickling water comes from the chamber to the northeast. Another opening leads to the south.,N,ne.seventh,,
seventh,In the Cave,Light and the smell of fresh air filter in from the north. A deep darkness and an unpleasant odor emanate from the cave to the southwest.,Y,n.overlook,,